id	taxonID	scientificName
wfo-0001293465	wfo-0001293465	Lampranthus suavissimus (L.Bolus) L.Bolus
wfo-0001293469	wfo-0001293469	Lampranthus subrotundus L.Bolus
wfo-0001293372	wfo-0001293372	Lampranthus lavisii (L.Bolus) L.Bolus
wfo-0001293526	wfo-0001293526	Lithops divergens L.Bolus
wfo-0001293309	wfo-0001293309	Lampranthus debilis (Haw.) N.E.Br.
wfo-0000619024	wfo-0000619024	Conophytum pubescens (Tischer) G.D.Rowley
wfo-0001293489	wfo-0001293489	Lampranthus villiersii (L.Bolus) L.Bolus
wfo-0000371636	wfo-0000371636	Malephora smithii (L.Bolus) H.E.K.Hartmann
wfo-0000372329	wfo-0000372329	Cyperus durus Kunth
wfo-0000418026	wfo-0000418026	Ficinia ecklonea (Steud.) Nees
wfo-0001293400	wfo-0001293400	Lampranthus middlemostii (L.Bolus) L.Bolus
wfo-0000418519	wfo-0000418519	Ficinia truncata (Thunb.) Schrad.
wfo-0001174048	wfo-0001174048	Gymnostomum bewsii Sim
wfo-0001293304	wfo-0001293304	Lampranthus coralliflorus (Salm-Dyck) Schwantes
wfo-0000377409	wfo-0000377409	Cyperus macrocarpus (Kunth) Boeckeler
wfo-0001293690	wfo-0001293690	Oophytum nanum (Schltr.) L.Bolus
wfo-0000702505	wfo-0000702505	Gibbaeum gibbosum (Haw.) N.E.Br.
wfo-0001293398	wfo-0001293398	Lampranthus microsepalus L.Bolus
wfo-0001150073	wfo-0001150073	Tortella fragilis (Hook. & Wilson) Limpr.
wfo-0000338272	wfo-0000338272	Alinula paradoxa (Cherm.) Goetgh. & Vorster
wfo-0001293537	wfo-0001293537	Lithops herrei L.Bolus
wfo-0001293264	wfo-0001293264	Lampranthus aestivus (L.Bolus) L.Bolus
wfo-0000369890	wfo-0000369890	Cyperus congestus Vahl
wfo-0001150085	wfo-0001150085	Tortella humilis (Hedw.) Jenn.
wfo-0000702502	wfo-0000702502	Gibbaeum esterhuyseniae L.Bolus
wfo-0001293354	wfo-0001293354	Lampranthus godmaniae (L.Bolus) L.Bolus
wfo-0001149500	wfo-0001149500	Thuidium assimile (Mitt.) A.Jaeger
wfo-0000597961	wfo-0000597961	Cerochlamys pachyphylla (L.Bolus) L.Bolus
wfo-0001435167	wfo-0001435167	Conophytum hermarium (S.A.Hammer) S.A.Hammer
wfo-0001334027	wfo-0001334027	Cyperus austro-africanus C.Archer & Goetgh.
wfo-0001294353	wfo-0001294353	Stayneria neilii (L.Bolus) L.Bolus
wfo-0001334029	wfo-0001334029	Cyperus uitenhagensis (Steud.) C.Archer & Goetgh.
wfo-0000639567	wfo-0000639567	Delosperma pageanum (L.Bolus) Schwantes
wfo-0001262249	wfo-0001262249	Neohenricia spiculata S.A.Hammer
wfo-0000538977	wfo-0000538977	Antimima leucanthera (L.Bolus) H.E.K.Hartmann
wfo-0000618632	wfo-0000618632	Conophytum blandum L.Bolus
wfo-0000538973	wfo-0000538973	Antimima koekenaapensis (L.Bolus) H.E.K.Hartmann
wfo-0000418320	wfo-0000418320	Ficinia repens (Nees) Kunth
wfo-0000538982	wfo-0000538982	Antimima loganii (L.Bolus) H.E.K.Hartmann
wfo-0001294447	wfo-0001294447	Wooleya farinosa (L.Bolus) L.Bolus
wfo-0000564275	wfo-0000564275	Bergeranthus artus L.Bolus
wfo-0000588273	wfo-0000588273	Carpobrotus muirii (L.Bolus) L.Bolus
wfo-0000379971	wfo-0000379971	Nananthus gerstneri (L.Bolus) L.Bolus
wfo-0000565267	wfo-0000565267	Bijlia tugwelliae (L.Bolus) S.A.Hammer
wfo-0001293901	wfo-0001293901	Ruschia capornii (L.Bolus) L.Bolus
wfo-0000618998	wfo-0000618998	Conophytum piluliforme (N.E.Br.) N.E.Br.
wfo-0000685962	wfo-0000685962	Faucaria britteniae L.Bolus
wfo-0000618857	wfo-0000618857	Conophytum lithopsoides subsp. boreale (L.Bolus) S.A.Hammer
wfo-0000639463	wfo-0000639463	Delosperma brevisepalum L.Bolus
wfo-0001294416	wfo-0001294416	Trichodiadema fergusoniae L.Bolus
wfo-0000546895	wfo-0000546895	Arenifera pillansii (L.Bolus) Herre
wfo-0000656922	wfo-0000656922	Drosanthemum inornatum (L.Bolus) L.Bolus
wfo-0000671152	wfo-0000671152	Erepsia aristata (L.Bolus) Liede & H.E.K.Hartmann
wfo-0000639571	wfo-0000639571	Delosperma patersoniae (L.Bolus) L.Bolus
wfo-0001293648	wfo-0001293648	Monilaria chrysoleuca (Schltr.) Schwantes
wfo-0000639467	wfo-0000639467	Delosperma caespitosum L.Bolus
wfo-0001294385	wfo-0001294385	Stomatium patulum H.Jacobsen
wfo-0000538971	wfo-0000538971	Antimima karroidea (L.Bolus) H.E.K.Hartmann
wfo-0000656976	wfo-0000656976	Drosanthemum salicola L.Bolus
wfo-0001294204	wfo-0001294204	Ruschia viridifolia L.Bolus
wfo-0000600551	wfo-0000600551	Cheiridopsis umdausensis L.Bolus
wfo-0001294441	wfo-0001294441	Trichodiadema stayneri L.Bolus
wfo-0000518676	wfo-0000518676	Acrodon deminutus Klak
wfo-0001294420	wfo-0001294420	Trichodiadema hallii L.Bolus
wfo-0001294397	wfo-0001294397	Stomatium villetii L.Bolus
wfo-0000547218	wfo-0000547218	Argyroderma ringens L.Bolus
wfo-0000656876	wfo-0000656876	Drosanthemum bicolor L.Bolus
wfo-0000518681	wfo-0000518681	Acrodon purpureostylus (L.Bolus) Burgoyne
wfo-0001294392	wfo-0001294392	Stomatium rouxii L.Bolus
wfo-0001293188	wfo-0001293188	Hereroa crassa L.Bolus
wfo-0000647989	wfo-0000647989	Dinteranthus vanzylii (L.Bolus) Schwantes
wfo-0000656898	wfo-0000656898	Drosanthemum duplessiae L.Bolus
wfo-0000564271	wfo-0000564271	Bergeranthus addoensis L.Bolus
wfo-0001293906	wfo-0001293906	Ruschia clavata L.Bolus
wfo-0000385206	wfo-0000385206	Oscularia piquetbergensis (L.Bolus) H.E.K.Hartmann
wfo-0000656899	wfo-0000656899	Drosanthemum eburneum L.Bolus
wfo-0000656933	wfo-0000656933	Drosanthemum leipoldtii L.Bolus
wfo-0000656916	wfo-0000656916	Drosanthemum hallii L.Bolus
wfo-0000360965	wfo-0000360965	Lampranthus disgregus (N.E.Br.) N.E.Br.
wfo-0000361369	wfo-0000361369	Lampranthus flexifolius (Haw.) N.E.Br.
wfo-0001294390	wfo-0001294390	Stomatium resedolens L.Bolus
wfo-0000618650	wfo-0000618650	Conophytum buysianum A.R.Mitch. & S.A.Hammer
wfo-0001294388	wfo-0001294388	Stomatium pluridens L.Bolus
wfo-0001293849	wfo-0001293849	Rhinephyllum obliquum L.Bolus
wfo-0001293442	wfo-0001293442	Lampranthus rustii (A.Berger) N.E.Br.
wfo-0000656919	wfo-0000656919	Drosanthemum hirtellum (Haw.) Schwantes
wfo-0001293320	wfo-0001293320	Lampranthus dilutus N.E.Br.
wfo-0001294232	wfo-0001294232	Schlechteranthus maximilianii Schwantes
wfo-0001146594	wfo-0001146594	Crossidium apiculatum Magill
wfo-0001197876	wfo-0001197876	Lepidozia cupressina (Sw.) Lindenb.
wfo-0001294414	wfo-0001294414	Trichodiadema densum (Haw.) Schwantes
wfo-0001293209	wfo-0001293209	Hereroa willowmorensis L.Bolus
wfo-0001294378	wfo-0001294378	Stomatium leve L.Bolus
wfo-0001293184	wfo-0001293184	Hereroa brevifolia L.Bolus
wfo-0000433214	wfo-0000433214	Stoeberia carpii Friedrich
wfo-0000385175	wfo-0000385175	Oscularia deltoides (L.) Schwantes
wfo-0001259511	wfo-0001259511	Ihlenfeldtia excavata (L.Bolus) H.E.K.Hartmann
wfo-0001294386	wfo-0001294386	Stomatium paucidens L.Bolus
wfo-0000354923	wfo-0000354923	Juniperus virginiana L.
wfo-0001201554	wfo-0001201554	Bazzania praerupta (Reinw., Blume & Nees) Trevis.
wfo-0001294375	wfo-0001294375	Stomatium jamesii L.Bolus
